1024,197.833333333333,1024,189,26
2048,233.333333333333,1024,220,25
4096,236,1024,190,26
8192,263,1024,190,26
16384,348.5,1024,208,35
32768,421,1024,190,26
65536,734.5,2048,218,49
131072,1213.16666666667,2048,301,47
262144,2421,2048,218,47
524288,4637,2048,228,68
1048576,10239.6666666667,2048,218,51
2097152,18585.1666666667,2048,217,50
4194304,38366.5,4096,244,95
8388608,78130.6666666667,4096,254,214
16777216,143565,4096,234,94
33554432,285690.333333333,4096,236,94
67108864,575528.333333333,4096,224,102
134217728,1143865.5,4096,224,97
268435456,2368649.33333333,8192,254,190
536870912,4629817.5,8192,294,180
1073741824,9098446.83333333,8192,253,188
,,8192,246,188
,,8192,272,204
,,8192,259,194
,,16384,331,391
,,16384,504,362
,,16384,337,382
,,16384,315,381
,,16384,303,396
,,16384,301,392
,,32768,412,782
,,32768,462,749
,,32768,411,772
,,32768,412,780
,,32768,410,1736
,,32768,419,822
,,65536,949,1582
,,65536,711,1562
,,65536,692,1518
,,65536,695,1556
,,65536,682,1508
,,65536,678,1583
,,131072,1215,3162
,,131072,1203,3233
,,131072,1193,3440
,,131072,1207,3173
,,131072,1258,3105
,,131072,1203,3393
,,262144,2291,6478
,,262144,2705,5962
,,262144,2289,6437
,,262144,2295,6186
,,262144,2492,6176
,,262144,2454,6666
,,524288,5820,12897
,,524288,4361,12023
,,524288,4211,13091
,,524288,4350,11922
,,524288,4465,12448
,,524288,4615,12738
,,1048576,9157,26685
,,1048576,10638,29797
,,1048576,10508,26128
,,1048576,10133,23544
,,1048576,11194,26427
,,1048576,9808,28486
,,2097152,19024,58080
,,2097152,17858,48838
,,2097152,18348,54775
,,2097152,18274,48761
,,2097152,19791,51345
,,2097152,18216,50148
,,4194304,38916,110066
,,4194304,37001,96141
,,4194304,39925,110488
,,4194304,38270,93479
,,4194304,38448,105131
,,4194304,37639,100235
,,8388608,78258,207521
,,8388608,76634,200621
,,8388608,79636,220011
,,8388608,77715,185885
,,8388608,78869,207281
,,8388608,77672,200170
,,16777216,141521,402723
,,16777216,144621,384212
,,16777216,145733,436530
,,16777216,142250,372881
,,16777216,144830,419153
,,16777216,142435,401694
,,33554432,281619,765263
,,33554432,282053,795008
,,33554432,296514,854930
,,33554432,283690,747526
,,33554432,285975,843925
,,33554432,284291,811685
,,67108864,623335,1587434
,,67108864,559225,1616720
,,67108864,565265,1726560
,,67108864,570835,1493713
,,67108864,568276,1599698
,,67108864,566234,1611334
,,134217728,1138312,3328251
,,134217728,1128706,3152911
,,134217728,1153811,3424414
,,134217728,1151733,3011786
,,134217728,1152150,3187647
,,134217728,1138481,3245850
,,268435456,2407155,6824507
,,268435456,2331713,6459595
,,268435456,2410429,6843601
,,268435456,2400798,6888455
,,268435456,2339664,6339039
,,268435456,2322137,6398133
,,536870912,4602832,13387276
,,536870912,4550566,13140851
,,536870912,4634454,13351667
,,536870912,4646743,13575385
,,536870912,4685802,12820015
,,536870912,4658508,12811203
,,1073741824,8989797,27632722
,,1073741824,8997465,26182158
,,1073741824,9143178,27135350
,,1073741824,9127166,25988709
,,1073741824,9355126,26024354
,,1073741824,8977949,25578908
